Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
6300101;Arroz (polido. parboilizado. agulha. agulhinha. etc.);Cereais e leguminosas;99;Nao se aplica;135,62;2,50;1,20;27,78;1,55
6300201;Arroz integral;Cereais e leguminosas;99;Nao se aplica;130,95;2,56;1,97;25,56;2,72
6300701;Milho (em grao);Cereais e leguminosas;1;Cru(a);160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;2;Cozido(a);160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;3;Grelhado(a)/brasa/churrasco;160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;4;Assado(a);160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;7;Refogado(a);160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;13;Ensopado;160,14;3,32;7,18;25,11;4,25
6300701;Milho (em grao);Cereais e leguminosas;99;Nao se aplica;160,14;3,32;7,18;25,11;4,25
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;1;Cru(a);79,68;1,24;2,20;13,50;0,67
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;2;Cozido(a);62,95;1,24;0,31;13,50;0,67
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;13;Ensopado;79,68;1,24;2,20;13,50;0,67
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;14;Mingau;62,95;1,24;0,31;13,50;0,67
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;15;Sopa;31,44;0,95;0,12;7,01;0,71
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;99;Nao se aplica;62,95;1,24;0,31;13,50;0,67
6300707;Xerem de milho;Cereais e leguminosas;99;Nao se aplica;62,95;1,24;0,31;13,50;0,67
6301001;Amendoim (em grao) in natura;Cereais e leguminosas;99;Nao se aplica;567,00;25,80;49,24;16,13;8,50
6301101;Ervilha em grao;Cereais e leguminosas;99;Nao se aplica;109,09;5,36;3,06;15,63;5,50
6301201;Fava (em grao);Cereais e leguminosas;99;Nao se aplica;85,62;4,80;3,17;10,10;3,60
6301204;Mangalô amargo em grao;Cereais e leguminosas;99;Nao se aplica;85,62;4,80;3,17;10,10;3,60
6301603;Feijao0de0corda;Cereais e leguminosas;99;Nao se aplica;121,33;3,17;3,13;20,32;5,00
6301634;Feijao0verde;Cereais e leguminosas;99;Nao se aplica;121,33;3,17;3,13;20,32;5,00
6302001;Semente de linhaca;Cereais e leguminosas;99;Nao se aplica;534,00;18,29;42,16;28,88;27,30
6302602;Andu;Cereais e leguminosas;99;Nao se aplica;97,41;5,84;1,79;15,05;3,78
6302801;Grao de bico;Cereais e leguminosas;99;Nao se aplica;188,48;8,86;5,36;27,42;7,60
6302901;Lentilha;Cereais e leguminosas;99;Nao se aplica;136,28;9,02;2,67;20,13;5,86
6303001;Soja em grao;Cereais e leguminosas;99;Nao se aplica;196,34;16,64;11,61;9,93;6,00
6303102;Feijao (preto. mulatinho. roxo. rosinha. etc.);Cereais e leguminosas;99;Nao se aplica;97,41;5,84;1,79;15,05;3,78
6303501;Quirera nao especificada;Cereais e leguminosas;99;Nao se aplica;62,95;1,24;0,31;13,50;0,67
6304034;Feijao0verde organico;Cereais e leguminosas;99;Nao se aplica;121,33;3,17;3,13;20,32;5,00
6304101;Feijao organico;Cereais e leguminosas;99;Nao se aplica;97,41;5,84;1,79;15,05;3,78
6304201;Pipoca  light;Cereais e leguminosas;99;Nao se aplica;445,94;10,77;17,78;64,85;12,07
6304301;Arroz  organico;Cereais e leguminosas;99;Nao se aplica;135,62;2,50;1,20;27,78;1,55
6304401;Arroz integral organico;Cereais e leguminosas;99;Nao se aplica;130,95;2,56;1,97;25,56;2,72
6304602;Feijao0de0soja organico;Cereais e leguminosas;99;Nao se aplica;196,34;16,64;11,61;9,93;6,00
6304901;Quinoa;Cereais e leguminosas;99;Nao se aplica;135,47;4,37;4,33;19,83;2,16
