Codigo_do_alimento; Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Colesterol_(mg);AG_Saturados_(g);AG_Mono _(g);AG_Poli_(g);AG_Linoleico_(g);AG_Linolenico_(g);AG_Trans_total_(g);Acucar_total_(g);Acucar_de_adicao_(g)
6300101;Arroz (polido. parboilizado. agulha. agulhinha. etc.);Cereais e leguminosas;99;Nao se aplica;0;0.35;0.22;0.56;0.56;0.07;0.01;0;0
6300201;Arroz integral;Cereais e leguminosas;99;Nao se aplica;0;0.45;0.62;0.86;0.8;0.08;0.01;0;0
6300701;Milho (em grao);Cereais e leguminosas;1;Cru(a);0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;2;Cozido(a);0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;3;Grelhado(a)/brasa/churrasco;0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;4;Assado(a);0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;7;Refogado(a);0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;13;Ensopado;0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300701;Milho (em grao);Cereais e leguminosas;99;Nao se aplica;0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;1;Cru(a);0;0.33;0.49;1.22;1.09;0.13;0.01;0.29;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;2;Cozido(a);0;0.03;0.06;0.13;0.12;0;0;0.29;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;13;Ensopado;0;0.33;0.49;1.22;1.09;0.13;0.01;0.29;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;14;Mingau;0;0.03;0.06;0.13;0.12;0;0;0.29;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;99;Nao se aplica;0;0.03;0.06;0.13;0.12;0;0;0.29;0
6300707;Xerem de milho;Cereais e leguminosas;99;Nao se aplica;0;0.03;0.06;0.13;0.12;0;0;0.29;0
6301001;Amendoim (em grao) in natura;Cereais e leguminosas;99;Nao se aplica;0;6.83;24.43;15.56;15.56;0;0;4;0
6301101;Ervilha em grao;Cereais e leguminosas;99;Nao se aplica;0;0.48;0.67;1.74;1.53;0.21;0.02;5.94;0
6301201;Fava (em grao);Cereais e leguminosas;99;Nao se aplica;0;0.56;0.63;1.85;1.48;0.36;0.01;1.24;0
6301204;Mangalo amargo em grao;Cereais e leguminosas;99;Nao se aplica;0;0.56;0.63;1.85;1.48;0.36;0.01;1.24;0
6301603;Feijaodecorda;Cereais e leguminosas;99;Nao se aplica;0;0.53;0.66;1.75;1.5;0.26;0.02;0.34;0
6301634;Feijaoverde;Cereais e leguminosas;99;Nao se aplica;0;0.53;0.66;1.75;1.5;0.26;0.02;0.34;0
6302001;Semente de linhaca;Cereais e leguminosas;99;Nao se aplica;0;3.66;7.53;28.73;5.9;22.81;0;1.55;0
6302602;Andu;Cereais e leguminosas;99;Nao se aplica;0;0.3;0.38;1.01;0.86;0.15;0.01;0.3;0
6302801;Grao de bico;Cereais e leguminosas;99;Nao se aplica;0;0.7;1.21;2.76;2.52;0.23;0.02;1.7;0
6302901;Lentilha;Cereais e leguminosas;99;Nao se aplica;0;0.41;0.59;1.5;1.31;0.19;0.01;0.39;0
6303001;Soja em grao;Cereais e leguminosas;99;Nao se aplica;0;1.71;2.58;6.59;5.81;0.78;0.01;0.8;0
6303102;Feijao (preto. mulatinho. roxo. rosinha. etc.);Cereais e leguminosas;99;Nao se aplica;0;0.3;0.38;1.01;0.86;0.15;0.01;0.3;0
6303501;Quirera nao especificada;Cereais e leguminosas;99;Nao se aplica;0;0.03;0.06;0.13;0.12;0;0;0.29;0
6304034;Feijaoverde organico;Cereais e leguminosas;99;Nao se aplica;0;0.53;0.66;1.75;1.5;0.26;0.02;0.34;0
6304101;Feijao organico;Cereais e leguminosas;99;Nao se aplica;0;0.3;0.38;1.01;0.86;0.15;0.01;0.3;0
6304201;Pipoca  light;Cereais e leguminosas;99;Nao se aplica;0;3.75;9.36;3.72;3.64;0.09;4.2;0.72;0
6304301;Arroz  organico;Cereais e leguminosas;99;Nao se aplica;0;0.35;0.22;0.56;0.56;0.07;0.01;0;0
6304401;Arroz integral organico;Cereais e leguminosas;99;Nao se aplica;0;0.45;0.62;0.86;0.8;0.08;0.01;0;0
6304602;Feijaodesoja organico;Cereais e leguminosas;99;Nao se aplica;0;1.71;2.58;6.59;5.81;0.78;0.01;0.8;0
6304901;Quinoa;Cereais e leguminosas;99;Nao se aplica;0;0.6;1.06;2.44;2.17;0.25;0.01;1.89;0
6400101;Batatainglesa;Hortalicas tuberosas;1;Cru(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;2;Cozido(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;4;Assado(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;5;Frito(a);0;2.15;3.07;7.85;6.92;0.93;0.07;1.44;0
6400101;Batatainglesa;Hortalicas tuberosas;7;Refogado(a);0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;8;Molho vermelho;0;0.03;0.01;0.05;0.04;0.01;0;1.54;0
6400101;Batatainglesa;Hortalicas tuberosas;9;Molho branco;6.83;1.55;0.64;0.15;0.12;0.03;0.1;1.72;0
6400101;Batatainglesa;Hortalicas tuberosas;10;Ao alho e oleo;0;2.15;3.07;7.85;6.92;0.93;0.07;1.44;0
6400101;Batatainglesa;Hortalicas tuberosas;11;Com manteiga/oleo;0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;13;Ensopado;0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400101;Batatainglesa;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400101;Batatainglesa;Hortalicas tuberosas;99;Nao se aplica;0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400303;Mandioquinha salsa (batatabaroa);Hortalicas tuberosas;2;Cozido(a);0;0.03;0;0.06;0.06;0;0;5.74;0
6400303;Mandioquinha salsa (batatabaroa);Hortalicas tuberosas;7;Refogado(a);0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6400303;Mandioquinha salsa (batatabaroa);Hortalicas tuberosas;13;Ensopado;0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6400303;Mandioquinha salsa (batatabaroa);Hortalicas tuberosas;99;Nao se aplica;0;0.03;0;0.06;0.06;0;0;5.74;0
6400304;Cenoura amarela (batatabaroa);Hortalicas tuberosas;99;Nao se aplica;0;0.03;0;0.06;0.06;0;0;5.74;0
6400401;Batatadoce;Hortalicas tuberosas;1;Cru(a);0;0.03;0;0.06;0.06;0;0;5.74;0
6400401;Batatadoce;Hortalicas tuberosas;2;Cozido(a);0;0.03;0;0.06;0.06;0;0;5.74;0
6400401;Batatadoce;Hortalicas tuberosas;4;Assado(a);0;0.03;0;0.06;0.06;0;0;6.47;0
6400401;Batatadoce;Hortalicas tuberosas;5;Frito(a);0;1.85;2.83;7.22;6.39;0.83;0;18.43;0
6400401;Batatadoce;Hortalicas tuberosas;7;Refogado(a);0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6400401;Batatadoce;Hortalicas tuberosas;13;Ensopado;0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6400401;Batatadoce;Hortalicas tuberosas;99;Nao se aplica;0;0.03;0;0.06;0.06;0;0;5.74;0
6400501;Inhame;Hortalicas tuberosas;1;Cru(a);0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;2;Cozido(a);0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;4;Assado(a);0;0.03;0;0.06;0.06;0;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;5;Frito(a);0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;7;Refogado(a);0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;13;Ensopado;0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400501;Inhame;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400508;Quicare;Hortalicas tuberosas;99;Nao se aplica;0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400601;Mandioca;Hortalicas tuberosas;1;Cru(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400601;Mandioca;Hortalicas tuberosas;2;Cozido(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400601;Mandioca;Hortalicas tuberosas;4;Assado(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400601;Mandioca;Hortalicas tuberosas;5;Frito(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400601;Mandioca;Hortalicas tuberosas;7;Refogado(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400601;Mandioca;Hortalicas tuberosas;8;Molho vermelho;0;0.09;0.09;0.09;0.05;0.01;0;0.85;0
6400601;Mandioca;Hortalicas tuberosas;11;Com manteiga/oleo;10.75;2.66;1.15;0.25;0.18;0.03;0.16;0.01;0
6400601;Mandioca;Hortalicas tuberosas;13;Ensopado;0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400601;Mandioca;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400601;Mandioca;Hortalicas tuberosas;99;Nao se aplica;0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;2;Cozido(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;4;Assado(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;5;Frito(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;6;Empanado(a)/a milanesa;0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;7;Refogado(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;8;Molho vermelho;0;0.09;0.09;0.09;0.05;0.01;0;0.85;0
6400609;Aipim;Hortalicas tuberosas;11;Com manteiga/oleo;10.75;2.66;1.15;0.25;0.18;0.03;0.16;0.01;0
6400609;Aipim;Hortalicas tuberosas;13;Ensopado;0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400609;Aipim;Hortalicas tuberosas;99;Nao se aplica;0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;1;Cru(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;2;Cozido(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;4;Assado(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
