Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6300101;Arroz (polido, parboilizado, agulha, agulhinha, etc.);Cereais e leguminosas;99;Nao se aplica;3.51;2.23;0.29;17.77;0.08;1.19;382;14.53;0.01;0.49;0.45
6300201;Arroz integral;Cereais e leguminosas;99;Nao se aplica;5.15;58.13;0.62;104.82;0.26;1.23;282;74.42;0.02;0.68;0.45
6300701;Milho (em grao);Cereais e leguminosas;1;Cru(a);3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;2;Cozido(a);3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;3;Grelhado(a)/brasa/churrasco;3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;4;Assado(a);3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;7;Refogado(a);3;26;0.16;75;0.44;0;245;212;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;13;Ensopado;3;26;0.16;75;0.44;0;245;212;0.05;0.61;2.9
6300701;Milho (em grao);Cereais e leguminosas;99;Nao se aplica;3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;1;Cru(a);3.45;6.93;0.03;17.91;0.74;131.5;126;25.96;0.02;0.13;2.85
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;2;Cozido(a);3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;1.98
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;13;Ensopado;3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;2.85
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;14;Mingau;3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;1.98
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;99;Nao se aplica;3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;1.98
6300707;Xerem de milho;Cereais e leguminosas;99;Nao se aplica;3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;1.98
6301001;Amendoim (em grao) in natura;Cereais e leguminosas;99;Nao se aplica;92;168;1.93;376;4.58;18;0;705;1.14;3.27;7.2
6301101;Ervilha em grao;Cereais e leguminosas;99;Nao se aplica;27;39;0.53;117;1.54;3;236;271;0.17;1.19;3.2
6301201;Fava (em grao);Cereais e leguminosas;99;Nao se aplica;18;31;0.26;73;1.5;41;222;193;0.06;0.47;2.22
6301204;Mangalo amargo em grao;Cereais e leguminosas;99;Nao se aplica;18;31;0.26;73;1.5;41;222;193;0.06;0.47;2.22
6301603;Feijao de corda;Cereais e leguminosas;99;Nao se aplica;128;52;0.57;51;1.12;4;229;418;0.13;1.03;3.76
6301634;Feijao verde;Cereais e leguminosas;99;Nao se aplica;128;52;0.57;51;1.12;4;229;418;0.13;1.03;3.76
6302001;Semente de linhaca;Cereais e leguminosas;99;Nao se aplica;255;392;2.48;642;5.73;30;0;813;1.22;4.34;25.4
6302602;Andu;Cereais e leguminosas;99;Nao se aplica;55.2;38.2;0.38;67.8;2.22;5.2;219;336.6;0.18;0.83;1.51
6302801;Grao de bico;Cereais e leguminosas;99;Nao se aplica;49;48;1.03;168;2.89;7;230;291;0.35;1.53;4.97
6302901;Lentilha;Cereais e leguminosas;99;Nao se aplica;19;36;0.49;180;3.33;2;191;369;0.25;1.27;3.85
6303001;Soja em grao;Cereais e leguminosas;99;Nao se aplica;102;86;0.82;245;5.14;1;219;515;0.41;1.15;8.51
6303102;Feijao (preto, mulatinho, roxo, rosinha, etc.);Cereais e leguminosas;99;Nao se aplica;55.2;38.2;0.38;67.8;2.22;5.2;219;336.6;0.18;0.83;1.51
6303501;Quirera nao especificada;Cereais e leguminosas;99;Nao se aplica;3.37;6.93;0.03;17.91;0.74;5.01;126;25.93;0.02;0.13;1.98
6304034;Feijao verde organico;Cereais e leguminosas;99;Nao se aplica;128;52;0.57;51;1.12;4;229;418;0.13;1.03;3.76
6304101;Feijao organico;Cereais e leguminosas;99;Nao se aplica;55.2;38.2;0.38;67.8;2.22;5.2;219;336.6;0.18;0.83;1.51
6304201;Pipoca  light;Cereais e leguminosas;99;Nao se aplica;6.49;119.91;0.93;298.04;2.67;1072.51;0;274.11;0.22;2.57;0
6304301;Arroz  organico;Cereais e leguminosas;99;Nao se aplica;3.51;2.23;0.29;17.77;0.08;1.19;382;14.53;0.01;0.49;0.45
6304401;Arroz integral organico;Cereais e leguminosas;99;Nao se aplica;5.15;58.13;0.62;104.82;0.26;1.23;282;74.42;0.02;0.68;0.45
6304602;Feijao de soja organico;Cereais e leguminosas;99;Nao se aplica;102;86;0.82;245;5.14;1;219;515;0.41;1.15;8.51
6304901;Quinoa;Cereais e leguminosas;99;Nao se aplica;16.57;61.58;0.63;141.28;1.41;4.27;374;174.05;0.19;0.97;3.75
6400101;Batata inglesa;Hortalicas tuberosas;1;Cru(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400101;Batata inglesa;Hortalicas tuberosas;2;Cozido(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400101;Batata inglesa;Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400101;Batata inglesa;Hortalicas tuberosas;4;Assado(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400101;Batata inglesa;Hortalicas tuberosas;5;Frito(a);13.43;33.58;0.24;67.17;0.53;8.4;380;550.76;0.28;0.46;6.68
6400101;Batata inglesa;Hortalicas tuberosas;7;Refogado(a);8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400101;Batata inglesa;Hortalicas tuberosas;8;Molho vermelho;9;19.2;0.13;37.2;0.45;108.8;242;328.6;0.16;0.26;0.28
6400101;Batata inglesa;Hortalicas tuberosas;9;Molho branco;29.28;18.31;0.12;51.69;0.32;24.92;242;292.45;0.14;0.31;1.41
6400101;Batata inglesa;Hortalicas tuberosas;10;Ao alho e oleo;13.43;33.58;0.24;67.17;0.53;8.4;380;550.76;0.28;0.46;6.68
6400101;Batata inglesa;Hortalicas tuberosas;11;Com manteiga/oleo;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400101;Batata inglesa;Hortalicas tuberosas;13;Ensopado;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
