Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo _da_preparacao;Descricao_da_preparacao;Retinol_(mcg);Vitamina_A_ERA_(mcg);Tiamina_(mg);Riboflavina_(mg);Niacina_(mg);Niacina_(NE)_(mg);Piridoxina_(mg);Cobalamina_(mcg);Folato_(DFE)_(mcg);Vitamina_D_(mcg);Vitamina_E_(mg);Vitamina_C_(mg)
6300101;Arroz (polido, parboilizado, agulha, agulhinha, etc.);Cereais e leguminosas;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0.08;0
6300201;Arroz integral;Cereais e leguminosas;99;Nao se aplica;0;0;0.08;0;0;0;0.08;0;0;0;0.08;0
6300701;Milho (em grao);Cereais e leguminosas;1;Cru(a);0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;2;Cozido(a);0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;3;Grelhado(a)/brasa/churrasco;0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;4;Assado(a);0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;7;Refogado(a);0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;13;Ensopado;0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300701;Milho (em grao);Cereais e leguminosas;99;Nao se aplica;0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;1;Cru(a);0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.18;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;2;Cozido(a);0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.03;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;13;Ensopado;0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.18;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;14;Mingau;0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.03;0
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6300706;Canjiquinha de milho em grao;Cereais e leguminosas;99;Nao se aplica;0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.03;0
6300707;Xerem de milho;Cereais e leguminosas;99;Nao se aplica;0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.03;0
6301001;Amendoim (em grao) in natura;Cereais e leguminosas;99;Nao se aplica;0;0;0.64;0.14;12.07;16.23;0.35;0;240;0;8.33;0
6301101;Ervilha em grao;Cereais e leguminosas;99;Nao se aplica;0;40.08;0.26;0.15;2.02;2.64;0.22;0;63;0;0.37;14.2
6301201;Fava (em grao);Cereais e leguminosas;99;Nao se aplica;0;18.83;0.13;0.09;1.2;2;0.03;0;58;0;0.34;19.8
6301204;Mangalo amargo em grao;Cereais e leguminosas;99;Nao se aplica;0;18.83;0.13;0.09;1.2;2;0.03;0;58;0;0.34;19.8
6301603;Feijao-de-corda;Cereais e leguminosas;99;Nao se aplica;0;39.58;0.1;0.15;1.4;2.02;0.07;0;127;0;0.45;2.2
6301634;Feijao-verde;Cereais e leguminosas;99;Nao se aplica;0;39.58;0.1;0.15;1.4;2.02;0.07;0;127;0;0.45;2.2
6302001;Semente de linhaca;Cereais e leguminosas;99;Nao se aplica;0;0;1.64;0.16;3.08;8.03;0.47;0;87;0;0.31;0.6
6302602;Andu;Cereais e leguminosas;99;Nao se aplica;0;0;0.07;0.03;0.08;1.23;0.06;0;48.6;0;0.69;0
6302801;Grao de bico;Cereais e leguminosas;99;Nao se aplica;0;1.33;0.12;0.06;0.53;1.94;0.14;0;172;0;0.58;1.3
6302901;Lentilha;Cereais e leguminosas;99;Nao se aplica;0;0.42;0.17;0.07;1.06;2.41;0.18;0;181;0;0.3;1.5
6303001;Soja em grao;Cereais e leguminosas;99;Nao se aplica;0;0.42;0.16;0.29;0.4;4.43;0.23;0;54;0;0.57;1.7
6303102;Feijao (preto, mulatinho, roxo, rosinha, etc.);Cereais e leguminosas;99;Nao se aplica;0;0;0.07;0.03;0.08;1.23;0.06;0;48.6;0;0.69;0
6303501;Quirera nao especificada;Cereais e leguminosas;99;Nao se aplica;0;1.83;0.11;0.07;0.91;1.02;0.03;0;20.81;0;0.03;0
6304034;Feijao-verde organico;Cereais e leguminosas;99;Nao se aplica;0;39.58;0.1;0.15;1.4;2.02;0.07;0;127;0;0.45;2.2
6304101;Feijao organico;Cereais e leguminosas;99;Nao se aplica;0;0;0.07;0.03;0.08;1.23;0.06;0;48.6;0;0.69;0
6304201;Pipoca  light;Cereais e leguminosas;99;Nao se aplica;0;8.19;0.09;0.07;1.92;3.1;0.13;0;25.81;0;1.24;0
6304301;Arroz  organico;Cereais e leguminosas;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0.08;0
6304401;Arroz integral organico;Cereais e leguminosas;99;Nao se aplica;0;0;0.08;0;0;0;0.08;0;0;0;0.08;0
6304602;Feijao-de-soja organico;Cereais e leguminosas;99;Nao se aplica;0;0.42;0.16;0.29;0.4;4.43;0.23;0;54;0;0.57;1.7
6304901;Quinoa;Cereais e leguminosas;99;Nao se aplica;0;0.22;0.11;0.1;0.47;1.27;0.15;0;56.88;0;0.96;0
6400101;Batata-inglesa;Hortalicas tuberosas;1;Cru(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;2;Cozido(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;4;Assado(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;5;Frito(a);0;0.28;0.17;0.03;2.2;2.96;0.45;0;15.11;0;1.2;12.43
6400101;Batata-inglesa;Hortalicas tuberosas;7;Refogado(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;8;Molho vermelho;0;3.62;0.08;0.03;1.25;1.64;0.24;0;9.4;0;0.33;7.32
6400101;Batata-inglesa;Hortalicas tuberosas;9;Molho branco;20.7;21.21;0.1;0.06;1.15;1.78;0.22;0.09;10.8;0.23;0.11;5.92
6400101;Batata-inglesa;Hortalicas tuberosas;10;Ao alho e oleo;0;0.28;0.17;0.03;2.2;2.96;0.45;0;15.11;0;1.2;12.43
6400101;Batata-inglesa;Hortalicas tuberosas;11;Com manteiga/oleo;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;13;Ensopado;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400101;Batata-inglesa;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400101;Batata-inglesa;Hortalicas tuberosas;99;Nao se aplica;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;2;Cozido(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;7;Refogado(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;13;Ensopado;0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400304;Cenoura amarela (batata-baroa);Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;1;Cru(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;2;Cozido(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;4;Assado(a);0;960.88;0.11;0.11;1.49;2.15;0.29;0;6;0;0.71;19.6
6400401;Batata-doce;Hortalicas tuberosas;5;Frito(a);0;2526.27;0.18;0.15;1.73;3.22;0.53;0;19.26;0;4.14;41.09
6400401;Batata-doce;Hortalicas tuberosas;7;Refogado(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400401;Batata-doce;Hortalicas tuberosas;13;Ensopado;0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400401;Batata-doce;Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
